Designator,Mid X,Mid Y,Layer,Rotation
C1,100.0,-173.3,T,0.0
C2,285.895,-171.835,T,0.0
C3,285.895,-170.9,T,0.0
C4,99.98,-172.3,T,0.0
C5,286.895,-168.835,T,0.0
C6,99.0,-166.4,T,-90.0
C7,281.3,-131.0,T,0.0
C8,287.7,-131.2,T,180.0
C9,280.7,-124.2,T,180.0
C10,281.54,-133.39,T,90.0
C11,288.94,-133.31,T,90.0
C12,291.74,-119.89,T,90.0
C13,112.7,-73.0,T,180.0
C14,112.695,-74.125,T,180.0
C15,109.675,-79.605,T,90.0
C16,297.5,-70.9,T,180.0
C17,297.5,-71.9,T,180.0
C18,296.9,-77.88,T,90.0
C19,290.74,-119.89,T,-90.0
J5,300.135,-125.0,T,90.0
R1,107.5,-150.0,T,180.0
R2,107.5,-151.0,T,180.0
R3,108.8,-167.0,T,90.0
R4,107.5,-153.0,T,180.0
R5,107.5,-152.0,T,180.0
R6,107.5,-154.0,T,180.0
R7,107.5,-154.99,T,180.0
R8,109.1,-160.6,T,-90.0
R9,99.0,-159.39,T,-90.0
R10,293.5,-151.7,T,-90.0
R11,292.5,-151.7,T,90.0
R12,291.5,-151.7,T,90.0
R13,288.5,-151.7,T,90.0
R14,290.5,-151.7,T,-90.0
R15,289.5,-151.7,T,-90.0
R16,297.0,-168.345,T,90.0
R17,298.875,-161.845,T,-90.0
R18,286.875,-160.345,T,-90.0
R19,290.1,-129.6,T,0.0
R20,285.14,-137.41,T,0.0
R21,108.2,-97.3,T,90.0
R22,109.2,-97.3,T,-90.0
R23,111.2,-97.3,T,-90.0
R24,105.1,-97.3,T,-90.0
R25,112.2,-97.3,T,90.0
R26,106.1,-97.3,T,90.0
R27,99.675,-78.625,T,-90.0
R28,99.675,-85.135,T,90.0
R29,110.775,-86.335,T,90.0
R30,290.3,-93.5,T,0.0
R31,290.29,-94.5,T,180.0
R32,290.29,-95.5,T,180.0
R33,290.3,-91.4,T,180.0
R34,290.29,-96.5,T,0.0
R35,290.3,-92.5,T,0.0
R36,286.055,-76.855,T,-90.0
R37,286.555,-83.165,T,90.0
R38,296.6,-84.67,T,90.0
R39,290.7,-127.1,T,180.0
R40,293.49,-126.5,T,0.0
R41,291.24,-123.25,T,0.0
U2,104.075,-163.195,T,180.0
U3,292.375,-164.335,T,180.0
U4,285.59,-126.91,T,180.0
U5,104.95,-82.5,T,0.0
U6,291.8,-80.76,T,0.0
Y1,285.24,-134.31,T,0.0
